Продукт,Калорийность,Белки,Жиры,Углеводы
        "Proteins": "1,1 г",
        "Fats": "0,3 г",
        "Urglevodi": "23 г"
    },
    {
        "Title": "Батон Нарезной [Пятерочка]",
        "Calories": "260 кКал",
        "Proteins": "7,5 г",
        "Fats": "3 г",
        "Urglevodi": "51 г"
    },
    {
        "Title": "Батончик с Чесноком [Пятерочка]",
        "Calories": "375 кКал",
        "Proteins": "7,9 г",
        "Fats": "4,4 г",
        "Urglevodi": "48 г"
    },
    {
        "Title": "Батончик Сырный [Пятерочка]",
        "Calories": "173 кКал",
        "Proteins": "5,3 г",
        "Fats": "4 г",
        "Urglevodi": "32 г"
    },
    {
        "Title": "Блины Рестория [Пятерочка]",
        "Calories": "246 кКал",
        "Proteins": "5,4 г",
        "Fats": "14,4 г",
        "Urglevodi": "23,7 г"
    },
    {
        "Title": "Булочка Даллас [Пятерочка]",
        "Calories": "406 кКал",
        "Proteins": "9 г",
        "Fats": "16,9 г",
        "Urglevodi": "54,5 г"
    },
    {
        "Title": "Булочка из Пшеничной Муки с Кунжутом [Пятерочка]",
        "Calories": "274 кКал",
        "Proteins": "8,9 г",
        "Fats": "3,1 г",
        "Urglevodi": "52,4 г"
    },
    {
        "Title": "Булочка Техас [Пятерочка]",
        "Calories": "416 кКал",
        "Proteins": "8,4 г",
        "Fats": "16,2 г",
        "Urglevodi": "59 г"
    },
    {
        "Title": "Бульон из Баранины [Пятерочка]",
        "Calories": "70 кКал",
        "Proteins": "5 г",
        "Fats": "5 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Буше Багет Летний [Пятерочка]",
        "Calories": "277 кКал",
        "Proteins": "9,3 г",
        "Fats": "1,6 г",
        "Urglevodi": "56,5 г"
    },
    {
        "Title": "Буше Гипфель с Начинкой Крем [Пятерочка]",
        "Calories": "333 кКал",
        "Proteins": "4,7 г",
        "Fats": "17,5 г",
        "Urglevodi": "39,1 г"
    },
    {
        "Title": "Буше Розан с Яблоком [Пятерочка]",
        "Calories": "257 кКал",
        "Proteins": "3 г",
        "Fats": "12 г",
        "Urglevodi": "35 г"
    },
    {
        "Title": "Буше Турновер с Сыром и Ветчиной [Пятерочка]",
        "Calories": "370 кКал",
        "Proteins": "8,1 г",
        "Fats": "25,5 г",
        "Urglevodi": "27 г"
    },
    {
        "Title": "Буше Хлеб Питерский [Пятерочка]",
        "Calories": "210 кКал",
        "Proteins": "7,4 г",
        "Fats": "1,2 г",
        "Urglevodi": "42,6 г"
    },
    {
        "Title": "Вино [Пятерочка]",
        "Calories": "14 кКал",
        "Proteins": "0 г",
        "Fats": "0 г",
        "Urglevodi": "3,5 г"
    },
    {
        "Title": "Виноград Сушеный Светлый [Пятерочка]",
        "Calories": "296 кКал",
        "Proteins": "2 г",
        "Fats": "0,5 г",
        "Urglevodi": "72 г"
    },
    {
        "Title": "Виноград Тайфи [Пятерочка]",
        "Calories": "65 кКал",
        "Proteins": "0,6 г",
        "Fats": "0,2 г",
        "Urglevodi": "16,8 г"
    },
    {
        "Title": "Гематоген с Витамином с [Пятерочка]",
        "Calories": "250 кКал",
        "Proteins": "7 г",
        "Fats": "3 г",
        "Urglevodi": "54 г"
    },
    {
        "Title": "Геркулес Хлопья Овсяные [Пятерочка]",
        "Calories": "360 кКал",
        "Proteins": "13 г",
        "Fats": "6 г",
        "Urglevodi": "64 г"
    },
    {
        "Title": "Гипфель с Клубникой [Пятерочка]",
        "Calories": "361 кКал",
        "Proteins": "4,7 г",
        "Fats": "17 г",
        "Urglevodi": "47,2 г"
    },
    {
        "Title": "Гипфель с Начинкой Смородина [Пятерочка]",
        "Calories": "347 кКал",
        "Proteins": "5 г",
        "Fats": "17 г",
        "Urglevodi": "44 г"
    },
    {
        "Title": "Грейпфрут [Пятерочка]",
        "Calories": "29 кКал",
        "Proteins": "0,7 г",
        "Fats": "0,2 г",
        "Urglevodi": "6,5 г"
    },
    {
        "Title": "Грейпфрут Свити [Пятерочка]",
        "Calories": "58 кКал",
        "Proteins": "0,7 г",
        "Fats": "0,2 г",
